Id,StartDate,EndDate,Recurring,Name,Description,Location,UserId
1,2023-11-01T09:00:00,2023-11-01T17:00:00,0,"Vilnius Code Masters","A day-long workshop on advanced software development techniques.","Tech Park Vilnius",1001
2,2023-11-08T10:00:00,2023-11-08T16:00:00,0,"AI Conference","Exploring the future of artificial intelligence and machine learning.","Vilnius Innovation Center",1002
3,2023-11-15T13:00:00,2023-11-15T18:00:00,0,"Frontend Dev Meetup","Meetup for frontend developers focusing on React and Angular frameworks.","Vilnius Co-Working Space",1003
4,2023-11-22T09:00:00,2023-11-22T17:00:00,0,"DevOps Workshop","Hands-on workshop on DevOps practices and tools.","Vilnius Tech Hub",1004
5,2023-11-29T18:00:00,2023-11-29T20:00:00,0,"Evening with Python","An evening session discussing Python programming trends.","Vilnius City Library",1005
6,2023-12-06T09:00:00,2023-12-06T17:00:00,0,"Mobile Apps Marathon","A full day event about building mobile applications.","Vilnius Mobile Innovation Center",1006
7,2023-12-13T10:00:00,2023-12-13T16:00:00,0,"Blockchain Summit","Summit on the uses of blockchain beyond cryptocurrencies.","Vilnius Financial District",1007
8,2023-12-20T13:00:00,2023-12-20T18:00:00,0,"Cybersecurity Conference","Conference on the latest in cybersecurity defense strategies.","Vilnius Tech Park",1008
9,2023-12-27T18:00:00,2023-12-27T20:00:00,0,"Software QA Forum","Forum discussing quality assurance practices in software development.","Vilnius Quality Center",1009



